Category,Question,Answer
Admissions,Please guide me about how much percentage is required for Food Engineering BS? Can you help?,The merit criteria for BS in Food Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Please guide me about closing merit for Urban & Infrastructure Engineering? Thanks.,Admission to Urban & Infrastructure Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, fee for PhD in English? (I need this urgently)","For PhD in English, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,"Tell me, what is the merit for BE in Materials Engineering? Please.",Admission to Materials Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Fee for BE in Electrical Engineering? Can you help?,"For BE in Electrical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Tell me, fee for MS in Materials Engineering? Thanks.",The fee structure for Materials Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Please guide me about fee for BE in Software Engineering? Please.,"For BE in Software Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Fee for PhD in Materials Engineering? (I need this urgently),The fee structure for Materials Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,Could you please explain HOD of Petroleum Engineering?,The details of the Chairperson for Petroleum Engineering are listed on the departmental sub-domain of the NED website.
Academics,"Hello, chairperson contact for Biomedical Engineering? (I need this urgently)","To contact the HOD of Biomedical Engineering, please visit the specific department's page on neduet.edu.pk."
Fees & Scholarships,I'm looking for info on fee for PhD in Urban & Infrastructure Engineering? ASAP.,"For PhD in Urban & Infrastructure Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Can you tell me what is the fee structure for Biomedical Engineering? Please.,"For PhD in Biomedical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Quick question: what is the merit for BS in Telecommunications Engineering? Appreciate it.,Admission to Telecommunications Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hey CampusBrain, what is the merit for MS in Environmental Engineering? Can you help?",The merit criteria for MS in Environmental Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Merit criteria for Physics? - thanks in advance!,Admission to Physics (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Please guide me about who is the chairperson of Physics? Please.,"To contact the HOD of Physics, please visit the specific department's page on neduet.edu.pk."
Admissions,Could you please explain what is the merit for BE in Automotive Engineering? Appreciate it.,The merit criteria for BE in Automotive Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,I would like to know how much percentage is required for Architecture MS? Can you help?,Admission to Architecture (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,I'm looking for info on fee for MS in Metallurgical Engineering?,The fee structure for Metallurgical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,Quick question: how much percentage is required for Polymer & Petrochemical Engineering ME? Please.,The merit criteria for ME in Polymer & Petrochemical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
